OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,bPM,ePM,PMSuffix,bPMc,ePMc,bOdometer,eOdometer,AlignCode,RouteType,Direction,Shape_Length
4129,91,,91,ORA091.R.R,ORA,12,R,18.336,18.905,,R18.336,R18.905,36.663,37.232,Right,State,EB,1119.7077356926
4130,91,,91,ORA091.RRR,ORA,12,R,17.254,18.313,R,R17.254R,R18.313R,35.604,36.663,Right Independent,State,EB,2048.32417502657
4131,199,,199,DN.199.T.R,DN,1,T,0.784,1.125,,T0.784,T1.125,0.278,0.619,Right,US,NB,735.871150356615
4132,91,,91,ORA091.R.R,ORA,12,R,15.164,17.254,,R15.164,R17.254,33.514,35.604,Right,State,EB,4075.64786007736
4133,91,,91,ORA091.RRR,ORA,12,R,13.415,15.141,R,R13.415R,R15.141R,31.788,33.514,Right Independent,State,EB,3307.72724645662
4134,91,,91,ORA091.R.R,ORA,12,R,8.833,13.415,,R8.833,R13.415,27.206,31.788,Right,State,EB,8917.50293119744
4135,96,,96,SIS096...R,SIS,2,,19.635,39.795,,19.635,39.795,60.513,80.673,Right,State,EB,43500.6908064018
4136,91,,91,ORA091...R,ORA,12,,0.41,8.833,,0.41,8.833,18.783,27.206,Right,State,EB,16294.9086566859
4137,101,,101,SB.101...L,SB,5,,46.293,48.456,,46.293,48.456,128.951,131.114,Left,US,SB,4220.5221364533
4138,91,,91,ORA091.RRR,ORA,12,R,3.221,4.044,R,R3.221R,R4.044R,17.96,18.783,Right Independent,State,EB,1602.48910783212
4139,91,,91,ORA091.R.R,ORA,12,R,0,3.221,,R0.0,R3.221,14.739,17.96,Right,State,EB,6235.85788325004
4140,166,,166,SB.166.R.R,SB,5,R,30.165,30.399,,R30.165,R30.399,30.165,30.399,Right,State,EB,421.048651764647
4141,142,,142,SBD142.R.R,SBD,8,R,1.43,1.814,,R1.43,R1.814,7.165,7.549,Right,State,EB,727.997067375862
4142,91,,91,LA.091.R.R,LA,7,R,6.344,20.741,,R6.344,R20.741,0.342,14.739,Right,State,EB,27885.0911208074
4143,91,,91,LA.091...R,LA,7,,6.012,6.354,,6.012,6.354,0,0.342,Right,State,EB,664.871162103497
4144,91,,91,RIV091...L,RIV,8,,4.014,22.068,,4.014,22.068,41.444,59.498,Left,State,WB,35133.4442600038
4145,91,,91,RIV091.R.L,RIV,8,R,0,4.126,,R0.0,R4.126,37.318,41.444,Left,State,WB,7997.87513455683
4146,91,,91,ORA091.R.L,ORA,12,R,18.336,18.905,,R18.336,R18.905,36.749,37.318,Left,State,WB,1096.09678536839
4147,91,,91,ORA091.RLL,ORA,12,R,17.254,18.336,L,R17.254L,R18.336L,35.667,36.749,Left Independent,State,WB,2101.52277324203
4148,91,,91,ORA091.R.L,ORA,12,R,15.164,17.254,,R15.164,R17.254,33.577,35.667,Left,State,WB,4059.77558215226
4149,91,,91,ORA091.RLL,ORA,12,R,13.415,15.164,L,R13.415L,R15.164L,31.828,33.577,Left Independent,State,WB,3342.68246275056
4150,99,,99,BUT099.R.R,BUT,3,R,3.026,4.116,,R3.026,R4.116,347.851,348.941,Right,State,NB,2291.6469205703
4151,92,,92,SM.092...L,SM,4,,0,7.191,,0.0,7.191,0,7.191,Left,State,WB,14391.6164696518
4152,91,,91,ORA091.R.L,ORA,12,R,8.833,13.415,,R8.833,R13.415,27.246,31.828,Left,State,WB,8845.1413085987
4153,91,,91,ORA091...L,ORA,12,,0.41,8.833,,0.41,8.833,18.823,27.246,Left,State,WB,16327.1312548875
4154,198,,198,TUL198.RLL,TUL,6,R,3.257,4.248,L,R3.257L,R4.248L,100.088,101.079,Left Independent,State,WB,1981.60837443805
4155,166,,166,SB.166.L.L,SB,5,L,55.042,55.088,,L55.042,L55.088,51.461,51.507,Left,State,WB,90.3783966113808
4156,91,,91,ORA091.RLL,ORA,12,R,3.221,4.084,L,R3.221L,R4.084L,17.96,18.823,Left Independent,State,WB,1690.20639436012
4157,108,,108,TUO108.R.L,TUO,10,R,9.356,12.178,,R9.356,R12.178,27.947,30.769,Left,State,WB,5654.28785692359
4158,91,,91,ORA091.R.L,ORA,12,R,0,3.221,,R0.0,R3.221,14.739,17.96,Left,State,WB,6223.44385402829
4159,91,,91,LA.091.R.L,LA,7,R,6.344,20.741,,R6.344,R20.741,0.342,14.739,Left,State,WB,27875.5373038348
4160,120,,120,STA120...R,STA,10,,15.95,18.017,,15.95,18.017,37.287,39.354,Right,State,EB,4215.7819286781
4161,111,,111,IMP111...R,IMP,11,,0.408,1.183,,0.408,1.183,0.273,1.048,Right,State,NB,1502.83291503144
4162,91,,91,LA.091...L,LA,7,,6.012,6.354,,6.012,6.354,0,0.342,Left,State,WB,657.618222505322
4163,90,,90,ORA090...R,ORA,12,,12.03,12.828,,12.03,12.828,11.319,12.117,Right,State,EB,1542.299941561
4164,108,,108,STA108...R,STA,10,,34.405,35.142,,34.405,35.142,12.047,12.784,Right,State,EB,1500.18009327389
4165,94,,94,SD.094...L,SD,11,,13.586,16.399,,13.586,16.399,12.021,14.834,Left,State,WB,5361.22080882766
4166,90,,90,ORA090...R,ORA,12,,11.147,11.497,,11.147,11.497,10.969,11.319,Right,State,EB,676.791714822038
4167,90,,90,ORA090...R,ORA,12,,5.603,8.147,,5.603,8.147,8.425,10.969,Right,State,EB,4957.09811678319
4168,150,,150,VEN150...L,VEN,7,,23.586,34.398,,23.586,34.398,25.57,36.382,Left,State,WB,21071.0626578327
4169,133,,133,ORA133...L,ORA,12,,0,3.8,,0.0,3.8,0,3.8,Left,State,SB,7357.12394337579
4170,90,,90,ORA090.R.R,ORA,12,R,5.255,5.601,,R5.255,R5.601,8.079,8.425,Right,State,EB,675.653624819199
4171,90,,90,ORA090...R,ORA,12,,0.5,5.255,,0.5,5.255,3.324,8.079,Right,State,EB,9219.66925789446
4172,166,,166,SB.166...L,SB,5,,22.893,23.539,,22.893,23.539,22.893,23.539,Left,State,WB,1252.93986913072
4173,154,,154,SB.154...L,SB,5,,32.5,32.84,,32.5,32.84,32.585,32.925,Left,State,WB,714.728640786583
4174,90,,90,LA.090.T.R,LA,7,T,3.106,3.278,,T3.106,T3.278,3.152,3.324,Right,State,EB,262.142831255254
4175,90,,90,LA.090...R,LA,7,,2.012,3.106,,2.012,3.106,2.058,3.152,Right,State,EB,2123.28324610289
4176,96,,96,SIS096...L,SIS,2,,19.635,39.795,,19.635,39.795,60.513,80.673,Left,State,WB,43500.6908064018
4177,90,,90,LA.090.R.R,LA,7,R,1.033,2.012,,R1.033,R2.012,1.079,2.058,Right,State,EB,1935.29078406608
4178,130,,130,SCL130...L,SCL,4,,1.241,1.426,,1.241,1.426,0.096,0.281,Left,State,WB,371.53055969326
4179,90,,90,LA.090...R,LA,7,,0.921,2,,0.921,2.0,0,1.079,Right,State,EB,2098.62464691368
4180,90,,90,ORA090...L,ORA,12,,12.03,12.828,,12.03,12.828,11.319,12.117,Left,State,WB,1554.20913463563
4181,90,,90,ORA090...L,ORA,12,,11.147,11.497,,11.147,11.497,10.969,11.319,Left,State,WB,675.566474238821
