OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,bPM,ePM,PMSuffix,bPMc,ePMc,bOdometer,eOdometer,AlignCode,RouteType,Direction,Shape_Length
1,80,,80,PLA080.R.L,PLA,3,R,18.822,23.612,,R18.822,R23.612,120.341,125.131,Left,Interstate,WB,9937.7796902505
2,80,,80,PLA080...L,PLA,3,,0,18.822,,0.0,18.822,101.519,120.341,Left,Interstate,WB,38934.8194372522
3,80,,80,SAC080...L,SAC,3,,11.675,18,,11.675,18.0,95.194,101.519,Left,Interstate,WB,13042.2930831684
4,80,,80,YOL080...L,YOL,3,,0,9.552,,0.0,9.552,72.206,81.758,Left,Interstate,WB,19596.6642070027
5,80,,80,SOL080.R.L,SOL,4,R,42.883,44.72,,R42.883,R44.72,70.369,72.206,Left,Interstate,WB,3781.42600059974
6,80,,80,SOL080.R.L,SOL,4,R,24.724,29.234,,R24.724,R29.234,52.224,56.734,Left,Interstate,WB,9246.58356219361
7,80,,80,SOL080.R.L,SOL,4,R,22.134,23.221,,R22.134,R23.221,49.636,50.723,Left,Interstate,WB,2232.51148751756
8,80,,80,SOL080.R.L,SOL,4,R,9.426,12.215,,R9.426,R12.215,36.917,39.706,Left,Interstate,WB,5700.8060280752
9,80,,80,NAP080...L,NAP,4,,6.814,8.004,,6.814,8.004,34.305,35.495,Left,Interstate,WB,2432.72643062839
10,80,,80,CC.080...L,CC,4,,0,14.139,,0.0,14.139,13.352,27.491,Left,Interstate,WB,28870.9584589562
11,80,,80,ALA080...L,ALA,4,,7.784,8.036,,7.784,8.036,13.1,13.352,Left,Interstate,WB,534.694112544333
12,80,,80,ALA080.R.L,ALA,4,R,6.899,7.771,,R6.899,R7.771,12.228,13.1,Left,Interstate,WB,1821.6292715436
13,80,,80,ALA080.R.L,ALA,4,R,0,1.646,,R0.0,R1.646,5.326,6.972,Left,Interstate,WB,3371.63517826628
14,80,,80,SF.080.R.L,SF,4,R,7.89,8.866,,R7.89,R8.866,4.35,5.326,Left,Interstate,WB,2043.99293446578
15,80,,80,SF.080..LL,SF,4,,5.044,7.89,L,5.044L,7.89L,1.504,4.35,Left Independent,Interstate,WB,5850.50900953025
16,80,,80,SF.080...L,SF,4,,3.836,4.992,,3.836,4.992,0.348,1.504,Left,Interstate,WB,2223.49449447583
17,80,,80,SF.080.L.L,SF,4,L,3.786,4.134,,L3.786,L4.134,0,0.348,Left,Interstate,WB,605.685454563982
18,79,,79,RIV079...R,RIV,8,,36.308,40.449,,36.308,40.449,91.47,95.611,Right,State,NB,8055.40643269069
19,79,,79,RIV079.M.R,RIV,8,M,31.71,33.793,,M31.71,M33.793,87.104,89.187,Right,State,NB,3919.87688704729
20,79,,79,RIV079.R.R,RIV,8,R,7.876,19.16,,R7.876,R19.16,75.069,86.353,Right,State,NB,21494.5029401483
21,79,,79,RIV079...R,RIV,8,,7.208,15.74,,7.208,15.74,63.031,71.563,Right,State,NB,16533.5630025155
22,79,,79,RIV079.L.R,RIV,8,L,7.207,7.322,,L7.207,L7.322,62.916,63.031,Right,State,NB,212.080319576164
23,79,,79,SD.079.R.R,SD,11,R,39.683,40.251,,R39.683,R40.251,42.376,42.944,Right,State,NB,1092.32782482989
24,79,,79,SD.079...R,SD,11,,0,20.22,,0.0,20.22,2.703,22.923,Right,State,NB,38846.2297009412
25,79,,79,RIV079.R.L,RIV,8,R,33.868,36.151,,R33.868,R36.151,89.187,91.47,Left,State,SB,4444.02448752217
26,79,,79,RIV079...L,RIV,8,,25.65,26.401,,25.65,26.401,86.353,87.104,Left,State,SB,1461.12056360738
27,79,,79,RIV079.L.L,RIV,8,L,7.207,7.322,,L7.207,L7.322,62.916,63.031,Left,State,SB,212.080319576164
28,79,,79,SD.079...L,SD,11,,40.27,53.035,,40.27,53.035,42.944,55.709,Left,State,SB,24450.5160449234
29,79,,79,SD.079...L,SD,11,,0,20.22,,0.0,20.22,2.703,22.923,Left,State,SB,38846.2455238868
30,79,,79,SD.079.L.L,SD,11,L,0.044,2.747,,L0.044,L2.747,0,2.703,Left,State,SB,5154.43439107901
31,78,,78,IMP078.R.R,IMP,11,R,77.758,77.971,,R77.758,R77.971,178.488,178.701,Right,State,EB,443.300411747721
32,78,,78,IMP078...R,IMP,11,,50.181,77.758,,50.181,77.758,150.911,178.488,Right,State,EB,52930.9037117879
33,78,,78,IMP078...R,IMP,11,,15.498,42.657,,15.498,42.657,115.212,142.371,Right,State,EB,52223.5842116176
34,78,,78,SD.078...R,SD,11,,30.323,95.313,,30.323,95.313,30.756,95.746,Right,State,EB,123494.007345717
35,78,,78,SD.078.R.R,SD,11,R,29.769,30.399,,R29.769,R30.399,30.126,30.756,Right,State,EB,1172.48531403422
36,78,,78,SD.078.R.R,SD,11,R,26.932,27.581,,R26.932,R27.581,27.298,27.947,Right,State,EB,1240.08522161666
37,78,,78,SD.078.R.R,SD,11,R,26.594,26.92,,R26.594,R26.92,26.972,27.298,Right,State,EB,630.685016445987
38,78,,78,SD.078.R.R,SD,11,R,21.198,22.735,,R21.198,R22.735,21.83,23.367,Right,State,EB,2965.70152238727
39,78,,78,SD.078.T.R,SD,11,T,17.678,19.525,,T17.678,T19.525,17.725,19.572,Right,State,EB,3551.43777146583
40,78,,78,SD.078.N.R,SD,11,N,17.444,17.729,,N17.444,N17.729,17.44,17.725,Right,State,EB,551.208007539503
41,78,,78,SD.078.R.R,SD,11,R,15.507,17.444,,R15.507,R17.444,15.503,17.44,Right,State,EB,3733.33235866501
42,78,,78,SD.078...R,SD,11,,0.004,15.507,,0.004,15.507,0,15.503,Right,State,EB,29803.8460089609
43,78,,78,RIV078...L,RIV,8,,0,16.412,,0.0,16.412,181.473,197.885,Left,State,WB,31957.5076051877
44,78,,78,IMP078...L,IMP,11,,15.498,42.657,,15.498,42.657,115.212,142.371,Left,State,WB,52223.6127390563
45,79,,79,SD.079...R,SD,11,,40.27,53.035,,40.27,53.035,42.944,55.709,Right,State,NB,24450.5160449234
46,78,,78,IMP078.R.L,IMP,11,R,9.202,15.498,,R9.202,R15.498,108.916,115.212,Left,State,WB,12120.7109159012
47,78,,78,IMP078...L,IMP,11,,0,13.17,,0.0,13.17,95.746,108.916,Left,State,WB,25288.3779541694
48,78,,78,SD.078.R.L,SD,11,R,29.769,30.399,,R29.769,R30.399,30.126,30.756,Left,State,WB,1172.48531403422
49,80,,80,SAC080.M.L,SAC,3,M,0,10.376,,M0.0,M10.376,83.924,94.3,Left,Interstate,WB,21385.2405975931
50,78,,78,SD.078.R.L,SD,11,R,26.932,27.581,,R26.932,R27.581,27.298,27.947,Left,State,WB,1240.08522161666
51,78,,78,SD.078...L,SD,11,,22.989,26.594,,22.989,26.594,23.367,26.972,Left,State,WB,6870.47023681785
52,78,,78,SD.078...L,SD,11,,18.94,21.198,,18.94,21.198,19.572,21.83,Left,State,WB,4335.82060730415
53,78,,78,SD.078.N.L,SD,11,N,17.444,17.729,,N17.444,N17.729,17.44,17.725,Left,State,WB,556.035828729317
54,78,,78,SD.078.R.L,SD,11,R,15.507,17.444,,R15.507,R17.444,15.503,17.44,Left,State,WB,3720.02667900106
55,77,,77,ALA077...R,ALA,4,,0.098,0.452,,0.098,0.452,0,0.354,Right,State,NB,746.339671941435
56,77,,77,ALA077...L,ALA,4,,0.098,0.452,,0.098,0.452,0,0.354,Left,State,SB,741.824511433755
57,76,,76,SD.076...R,SD,11,,34.393,34.412,,34.393,34.412,34.135,34.154,Right,State,EB,36.0041030937272
58,76,,76,SD.076...R,SD,11,,33.158,34.086,,33.158,34.086,32.914,33.842,Right,State,EB,1656.36778698001
59,76,,76,SD.076.M.R,SD,11,M,13.676,13.837,,M13.676,M13.837,13.676,13.837,Right,State,EB,378.052420444518
60,76,,76,SD.076.M.R,SD,11,M,9.455,9.9,,M9.455,M9.9,9.455,9.9,Right,State,EB,879.982288527363
61,76,,76,SD.076.R.R,SD,11,R,2.994,9.455,,R2.994,R9.455,2.994,9.455,Right,State,EB,12454.6931222399
62,76,,76,SD.076.R.R,SD,11,R,0,2.451,,R0.0,R2.451,0,2.451,Right,State,EB,4708.46236400205
63,76,,76,SD.076.R.L,SD,11,R,34.459,34.839,,R34.459,R34.839,34.154,34.534,Left,State,WB,721.554001886603
64,76,,76,SD.076.R.L,SD,11,R,34.086,34.379,,R34.086,R34.379,33.842,34.135,Left,State,WB,570.751680535165
65,76,,76,SD.076...L,SD,11,,33.158,34.086,,33.158,34.086,32.914,33.842,Left,State,WB,1656.36778698001
66,76,,76,SD.076.R.L,SD,11,R,32.847,33.162,,R32.847,R33.162,32.599,32.914,Left,State,WB,624.114576803065
67,76,,76,SD.076...L,SD,11,,18.748,32.847,,18.748,32.847,18.5,32.599,Left,State,WB,27175.6000036245
68,76,,76,SD.076.R.L,SD,11,R,16.79,18.763,,R16.79,R18.763,16.527,18.5,Left,State,WB,3778.99675967111
69,76,,76,SD.076.R.L,SD,11,R,13.837,16.527,,R13.837,R16.527,13.837,16.527,Left,State,WB,5174.31885474544
70,76,,76,SD.076.M.L,SD,11,M,13.676,13.837,,M13.676,M13.837,13.676,13.837,Left,State,WB,379.222776173147
71,76,,76,SD.076.R.L,SD,11,R,9.9,13.676,,R9.9,R13.676,9.9,13.676,Left,State,WB,7238.67828364107
72,76,,76,SD.076.M.L,SD,11,M,2.451,2.994,,M2.451,M2.994,2.451,2.994,Left,State,WB,1047.48745817222
73,76,,76,SD.076.R.L,SD,11,R,0,2.451,,R0.0,R2.451,0,2.451,Left,State,WB,4716.54316688812
74,75,,75,SD.075.RLL,SD,11,R,19.696,20.035,L,R19.696L,R20.035L,8.499,8.838,Left Independent,State,SB,675.4264120742
75,75,,75,SD.075...L,SD,11,,11.197,19.696,,11.197,19.696,0,8.499,Left,State,SB,16308.4456407582
76,74,,74,RIV074.R.R,RIV,8,R,91.974,92.34,,R91.974,R92.34,97.389,97.755,Right,State,EB,703.663623009706
77,74,,74,RIV074...R,RIV,8,,49.16,91.974,,49.16,91.974,54.575,97.389,Right,State,EB,82625.9600830791
78,74,,74,RIV074.R.R,RIV,8,R,48.604,49.144,,R48.604,R49.144,54.035,54.575,Right,State,EB,1304.58732036778
79,74,,74,RIV074.R.R,RIV,8,R,46.974,47.433,,R46.974,R47.433,52.442,52.901,Right,State,EB,706.11348215166
80,74,,74,RIV074...R,RIV,8,,39.588,46.974,,39.588,46.974,45.056,52.442,Right,State,EB,14284.2063976724
81,74,,74,RIV074...R,RIV,8,,27.437,27.53,,27.437,27.53,33.016,33.109,Right,State,EB,256.072128353626
82,74,,74,RIV074...R,RIV,8,,17.239,17.355,,17.239,17.355,32.9,33.016,Right,State,EB,249.893148179702
83,74,,74,RIV074.R.R,RIV,8,R,14.19,16.335,,R14.19,R16.335,30.755,32.9,Right,State,EB,4153.44771435937
84,74,,74,RIV074...R,RIV,8,,4.449,14.19,,4.449,14.19,21.014,30.755,Right,State,EB,18778.7787269853
85,74,,74,RIV074.R.R,RIV,8,R,3.997,4.419,,R3.997,R4.419,20.592,21.014,Right,State,EB,819.313120398869
86,74,,74,ORA074...R,ORA,12,,2.654,16.599,,2.654,16.599,2.65,16.595,Right,State,EB,26849.5786992903
87,74,,74,ORA074...R,ORA,12,,0,2.086,,0.0,2.086,0,2.086,Right,State,EB,4156.67426315209
88,74,,74,RIV074.R.L,RIV,8,R,91.974,92.34,,R91.974,R92.34,97.389,97.755,Left,State,WB,703.663623009706
89,74,,74,RIV074.R.L,RIV,8,R,48.604,49.144,,R48.604,R49.144,54.035,54.575,Left,State,WB,1304.58732036778
90,74,,74,RIV074...L,RIV,8,,47.47,48.604,,47.47,48.604,52.901,54.035,Left,State,WB,2076.40659362663
91,74,,74,RIV074.R.L,RIV,8,R,46.974,47.433,,R46.974,R47.433,52.442,52.901,Left,State,WB,706.367202638081
92,74,,74,RIV074...L,RIV,8,,39.588,46.974,,39.588,46.974,45.056,52.442,Left,State,WB,14290.122323027
93,74,,74,RIV074...L,RIV,8,,27.437,27.53,,27.437,27.53,33.016,33.109,Left,State,WB,268.500828308736
94,74,,74,RIV074...L,RIV,8,,17.239,17.355,,17.239,17.355,32.9,33.016,Left,State,WB,248.959922807096
95,74,,74,RIV074...L,RIV,8,,4.449,14.19,,4.449,14.19,21.014,30.755,Left,State,WB,18792.8900699059
96,74,,74,RIV074...L,RIV,8,,0,3.997,,0.0,3.997,16.595,20.592,Left,State,WB,7730.38880265288
97,74,,74,ORA074...L,ORA,12,,2.654,16.599,,2.654,16.599,2.65,16.595,Left,State,WB,26839.7174759917
98,73,,73,ORA073.RRR,ORA,12,R,27.742,28.045,R,R27.742R,R28.045R,17.695,17.998,Right Independent,State,NB,578.912216568444
99,73,,73,ORA073...R,ORA,12,,10,25.405,,10.0,25.405,0,15.405,Right,State,NB,29807.6052169509
100,73,,73,ORA073.RLL,ORA,12,R,27.742,28.016,L,R27.742L,R28.016L,17.695,17.969,Left Independent,State,SB,529.661497175575
101,72,,72,ORA072...R,ORA,12,,11.421,11.918,,11.421,11.918,0,0.497,Right,State,NB,957.284103267933
102,71,,71,RIV071.R.R,RIV,8,R,2.843,3.032,,R2.843,R3.032,16.261,16.45,Right,State,SB,367.549787530827
103,71,,71,LA.071.R.R,LA,7,R,3.614,4.697,,R3.614,R4.697,3.867,4.95,Right,State,SB,2049.54870458903
104,71,,71,LA.071...R,LA,7,,1.195,3.614,,1.195,3.614,1.448,3.867,Right,State,SB,4710.15568853109
105,71,,71,LA.071.T.R,LA,7,T,1.614,1.783,,T1.614,T1.783,1.279,1.448,Right,State,SB,332.459584912322
106,71,,71,LA.071.R.R,LA,7,R,0.49,1.614,,R0.49,R1.614,0.155,1.279,Right,State,SB,2178.81802250886
107,71,,71,LA.071.RRR,LA,7,R,0.335,0.49,R,R0.335R,R0.49R,0,0.155,Right Independent,State,SB,286.124573926294
108,71,,71,RIV071.R.L,RIV,8,R,0,0.018,,R0.0,R0.018,13.428,13.446,Left,State,NB,95.3562930442563
109,71,,71,SBD071.R.L,SBD,8,R,0,8.478,,R0.0,R8.478,4.95,13.428,Left,State,NB,16464.712386506
110,71,,71,LA.071...L,LA,7,,1.195,3.614,,1.195,3.614,1.448,3.867,Left,State,NB,4703.71732838322
111,71,,71,LA.071.T.L,LA,7,T,1.614,1.783,,T1.614,T1.783,1.279,1.448,Left,State,NB,327.591524303028
112,71,,71,LA.071.R.L,LA,7,R,0.49,1.614,,R0.49,R1.614,0.155,1.279,Left,State,NB,2200.76712753356
113,78,,78,SD.078...L,SD,11,,30.323,95.313,,30.323,95.313,30.756,95.746,Left,State,WB,123505.733273749
114,71,,71,LA.071.RLL,LA,7,R,0.335,0.49,L,R0.335L,R0.49L,0,0.155,Left Independent,State,NB,375.441193894516
115,70,,70,LAS070...R,LAS,2,,0,3.889,,0.0,3.889,176.119,180.008,Right,State,EB,8171.52635112102
116,70,,70,PLU070.R.R,PLU,2,R,76.423,80.589,,R76.423,R80.589,156.767,160.933,Right,State,EB,8785.28797214229
117,70,,70,PLU070.R.R,PLU,2,R,65.9,66.916,,R65.9,R66.916,146.244,147.26,Right,State,EB,2155.58542801289
118,70,,70,PLU070...R,PLU,2,,64.472,65.86,,64.472,65.86,144.856,146.244,Right,State,EB,2879.33609508213
119,70,,70,PLU070...R,PLU,2,,43.7,59.641,,43.7,59.641,124.331,140.272,Right,State,EB,33415.0298865515
120,70,,70,PLU070...R,PLU,2,,0,43.086,,0.0,43.086,80.631,123.717,Right,State,EB,90824.4298669259
121,70,,70,BUT070.R.R,BUT,3,R,21.321,21.977,,R21.321,R21.977,53.854,54.51,Right,State,EB,1371.73187102038
122,74,,74,ORA074.R.L,ORA,12,R,2.086,2.65,,R2.086,R2.65,2.086,2.65,Left,State,WB,1075.58047639011
123,70,,70,BUT070.RRR,BUT,3,R,20.097,21.321,R,R20.097R,R21.321R,52.63,53.854,Right Independent,State,EB,2598.99047276905
124,70,,70,BUT070...R,BUT,3,,0,20.097,,0.0,20.097,32.533,52.63,Right,State,EB,41718.8554711863
125,70,,70,YUB070...R,YUB,3,,13.008,14.7,,13.008,14.7,19.729,21.421,Right,State,EB,3527.95714903723
126,70,,70,YUB070.R.R,YUB,3,R,0.208,11.386,,R0.208,R11.386,8.551,19.729,Right,State,EB,23194.053684028
127,70,,70,YUB070...R,YUB,3,,0,0.208,,0.0,0.208,8.343,8.551,Right,State,EB,444.739622055559
128,70,,70,SUT070...R,SUT,3,,5.273,8.298,,5.273,8.298,5.318,8.343,Right,State,EB,6307.57196292467
129,70,,70,SUT070.R.R,SUT,3,R,2.518,5.369,,R2.518,R5.369,2.467,5.318,Right,State,EB,5907.25112182381
130,70,,70,SUT070...R,SUT,3,,0.142,2.518,,0.142,2.518,0.091,2.467,Right,State,EB,4941.74597775629
131,70,,70,SUT070.R.R,SUT,3,R,0.051,0.142,,R0.051,R0.142,0,0.091,Right,State,EB,190.43571698785
132,70,,70,LAS070...L,LAS,2,,0,3.889,,0.0,3.889,176.141,180.03,Left,State,WB,8171.52635112102
133,70,,70,PLU070.R.L,PLU,2,R,76.423,80.589,,R76.423,R80.589,156.789,160.955,Left,State,WB,8784.31374573426
134,76,,76,SD.076.M.R,SD,11,M,2.451,2.994,,M2.451,M2.994,2.451,2.994,Right,State,EB,1044.49016250162
135,70,,70,PLU070.R.L,PLU,2,R,65.9,66.916,,R65.9,R66.916,146.266,147.282,Left,State,WB,2155.58549957918
136,70,,70,BUT070...L,BUT,3,,40.354,48.076,,40.354,48.076,72.98,80.702,Left,State,WB,15849.2253477439
137,70,,70,BUT070...L,BUT,3,,21.945,40.344,,21.945,40.344,54.581,72.98,Left,State,WB,38476.7571833118
138,74,,74,ORA074.R.R,ORA,12,R,2.086,2.65,,R2.086,R2.65,2.086,2.65,Right,State,EB,1077.83925612314
139,70,,70,BUT070.R.L,BUT,3,R,21.321,21.977,,R21.321,R21.977,53.925,54.581,Left,State,WB,1371.73187102038
140,70,,70,BUT070.RLL,BUT,3,R,20.097,21.392,L,R20.097L,R21.392L,52.63,53.925,Left Independent,State,WB,2742.278360327
141,70,,70,BUT070...L,BUT,3,,0,20.097,,0.0,20.097,32.533,52.63,Left,State,WB,41720.0285677766
142,70,,70,YUB070...L,YUB,3,,14.71,25.822,,14.71,25.822,21.421,32.533,Left,State,WB,23268.3316810526
143,78,,78,RIV078...R,RIV,8,,0,16.412,,0.0,16.412,181.473,197.885,Right,State,EB,31959.9633363336
144,70,,70,YUB070...L,YUB,3,,13.008,14.7,,13.008,14.7,19.729,21.421,Left,State,WB,3536.66906847434
145,70,,70,YUB070.R.L,YUB,3,R,0.208,11.386,,R0.208,R11.386,8.551,19.729,Left,State,WB,23134.3865714187
146,70,,70,SUT070...L,SUT,3,,5.273,8.298,,5.273,8.298,5.318,8.343,Left,State,WB,6302.66644851768
147,70,,70,SUT070.R.L,SUT,3,R,0.051,0.142,,R0.051,R0.142,0,0.091,Left,State,WB,171.507003232029
148,68,,68,MON068...R,MON,5,,18.737,22.023,,18.737,22.023,18.709,21.995,Right,State,EB,6531.37367029168
149,68,,68,MON068.R.R,MON,5,R,16.544,18.102,,R16.544,R18.102,16.748,18.306,Right,State,EB,3154.29182513041
150,68,,68,MON068...R,MON,5,,4.771,16.544,,4.771,16.544,4.975,16.748,Right,State,EB,23723.7536445766
151,68,,68,MON068.R.R,MON,5,R,3.948,4.659,,R3.948,R4.659,4.264,4.975,Right,State,EB,1404.60246319385
152,68,,68,MON068...L,MON,5,,18.737,22.023,,18.737,22.023,18.709,21.995,Left,State,WB,6530.33207628317
153,68,,68,MON068.T.L,MON,5,T,18.102,18.505,,T18.102,T18.505,18.306,18.709,Left,State,WB,781.218652639524
154,68,,68,MON068...L,MON,5,,4.771,16.544,,4.771,16.544,4.975,16.748,Left,State,WB,23728.643481496
155,68,,68,MON068.L.L,MON,5,L,3.948,4.264,,L3.948,L4.264,3.948,4.264,Left,State,WB,674.44737601461
156,67,,67,SD.067.R.R,SD,11,R,17.637,18.91,,R17.637,R18.91,17.109,18.382,Right,State,NB,2452.64771338584
157,67,,67,SD.067...R,SD,11,,10.61,17.637,,10.61,17.637,10.082,17.109,Right,State,NB,13436.3530623381
158,67,,67,SD.067.R.R,SD,11,R,9.55,10.523,,R9.55,R10.523,9.109,10.082,Right,State,NB,1884.48872246354
159,78,,78,IMP078...R,IMP,11,,0,13.17,,0.0,13.17,95.746,108.916,Right,State,EB,25288.3779541694
160,75,,75,SD.075...R,SD,11,,11.197,19.696,,11.197,19.696,0,8.499,Right,State,NB,16286.4401161953
161,70,,70,PLU070...L,PLU,2,,43.7,59.641,,43.7,59.641,124.353,140.294,Left,State,WB,33427.8537751107
162,67,,67,SD.067...L,SD,11,,21.052,24.377,,21.052,24.377,20.502,23.827,Left,State,SB,6469.1919751613
163,67,,67,SD.067...L,SD,11,,18.92,20.14,,18.92,20.14,18.382,19.602,Left,State,SB,2326.4570960712
164,67,,67,SD.067...L,SD,11,,10.61,17.637,,10.61,17.637,10.082,17.109,Left,State,SB,13439.1379771297
165,67,,67,SD.067.R.L,SD,11,R,9.55,10.523,,R9.55,R10.523,9.109,10.082,Left,State,SB,1885.90317384784
166,67,,67,SD.067...L,SD,11,,6.67,9.55,,6.67,9.55,6.229,9.109,Left,State,SB,5552.15140176629
167,67,,67,SD.067.R.L,SD,11,R,0,6.229,,R0.0,R6.229,0,6.229,Left,State,SB,11934.3194472579
168,66,,66,LA.066...R,LA,7,,0.522,3.22,,0.522,3.22,0.518,3.216,Right,State,EB,5248.98592898855
169,66,,66,SBD066...L,SBD,8,,20.14,23.156,,20.14,23.156,3.216,6.232,Left,State,WB,5872.67555889756
170,66,,66,LA.066...L,LA,7,,0.522,3.22,,0.522,3.22,0.518,3.216,Left,State,WB,5246.4713094282
171,66,,66,LA.066.R.L,LA,7,R,0.038,0.518,,R0.038,R0.518,0.038,0.518,Left,State,WB,940.6615785254
172,66,,66,LA.066...L,LA,7,,0,0.038,,0.0,0.038,0,0.038,Left,State,WB,65.0470233919215
173,65,,65,YUB065.R.R,YUB,3,R,4.738,9.382,,R4.738,R9.382,90.156,94.8,Right,State,NB,9193.49527005829
174,65,,65,YUB065.T.R,YUB,3,T,3.992,4.738,,T3.992,T4.738,89.41,90.156,Right,State,NB,1548.35391047788
175,65,,65,YUB065...R,YUB,3,,0.542,4.1,,0.542,4.1,85.852,89.41,Right,State,NB,7337.40236307431
176,65,,65,YUB065.R.R,YUB,3,R,0,0.541,,R0.0,R0.541,85.311,85.852,Right,State,NB,2015.57334833428
177,65,,65,PLA065...R,PLA,3,,22.713,23.019,,22.713,23.019,83.765,84.071,Right,State,NB,640.470677706689
178,65,,65,PLA065.R.R,PLA,3,R,8.712,23.018,,R8.712,R23.018,68.419,82.725,Right,State,NB,29564.6641202854
179,79,,79,RIV079...R,RIV,8,,25.65,26.401,,25.65,26.401,86.353,87.104,Right,State,NB,1460.45773458828
180,65,,65,TUL065...R,TUL,6,,20.423,39.577,,20.423,39.577,45.416,64.57,Right,State,NB,38173.3119957059
181,65,,65,TUL065.R.R,TUL,6,R,19.205,20.424,,R19.205,R20.424,44.197,45.416,Right,State,NB,2419.03922230252
182,65,,65,TUL065...R,TUL,6,,0,4.625,,0.0,4.625,24.982,29.607,Right,State,NB,9216.64394972428
183,65,,65,YUB065.T.L,YUB,3,T,3.992,4.738,,T3.992,T4.738,89.41,90.156,Left,State,SB,1542.07662616265
184,65,,65,YUB065...L,YUB,3,,0.542,4.1,,0.542,4.1,85.852,89.41,Left,State,SB,7335.24126867868
185,65,,65,PLA065.R.L,PLA,3,R,23.019,24.259,,R23.019,R24.259,84.071,85.311,Left,State,SB,1729.71141477069
186,65,,65,PLA065...L,PLA,3,,22.713,23.019,,22.713,23.019,83.765,84.071,Left,State,SB,640.458879572407
187,65,,65,PLA065.L.L,PLA,3,L,23.018,24.058,,L23.018,L24.058,82.725,83.765,Left,State,SB,2174.52985223828
188,65,,65,PLA065.R.L,PLA,3,R,8.712,23.018,,R8.712,R23.018,68.419,82.725,Left,State,SB,29580.1520470408
189,65,,65,PLA065.M.L,PLA,3,M,8,8.712,,M8.0,M8.712,67.707,68.419,Left,State,SB,1536.50429834978
190,65,,65,TUL065...L,TUL,6,,20.423,39.577,,20.423,39.577,45.416,64.57,Left,State,SB,38161.2466643422
191,65,,65,TUL065.R.L,TUL,6,R,19.205,20.424,,R19.205,R20.424,44.197,45.416,Left,State,SB,2420.68613106209
192,65,,65,TUL065...L,TUL,6,,15.132,19.205,,15.132,19.205,40.124,44.197,Left,State,SB,8158.4582146261
193,65,,65,TUL065...L,TUL,6,,0,4.625,,0.0,4.625,24.982,29.607,Left,State,SB,9216.64394671163
194,65,,65,KER065.R.L,KER,6,R,0,0.455,,R0.0,R0.455,0,0.455,Left,State,SB,872.672232799154
195,74,,74,RIV074...R,RIV,8,,27.54,39.487,,27.54,39.487,33.109,45.056,Right,State,EB,23131.2327205675
196,63,,63,TUL063...R,TUL,6,,19.822,23.572,,19.822,23.572,19.761,23.511,Right,State,NB,7528.99842963077
197,63,,63,TUL063.R.R,TUL,6,R,9.095,9.171,,R9.095,R9.171,9.427,9.503,Right,State,NB,145.480459515067
198,63,,63,TUL063.RRR,TUL,6,R,8.775,9.095,R,R8.775R,R9.095R,9.107,9.427,Right Independent,State,NB,716.771588729232
199,63,,63,TUL063.L.R,TUL,6,L,7.948,7.97,,L7.948,L7.97,7.948,7.97,Right,State,NB,66.3764965831525
200,63,,63,FRE063...L,FRE,6,,0,8.362,,0.0,8.362,30.023,38.385,Left,State,SB,16778.1521624801
201,63,,63,TUL063.R.L,TUL,6,R,23.572,30.084,,R23.572,R30.084,23.511,30.023,Left,State,SB,13087.389835923
202,63,,63,TUL063.RLL,TUL,6,R,8.775,9.095,L,R8.775L,R9.095L,9.107,9.427,Left Independent,State,SB,611.856411387442
203,63,,63,TUL063..LL,TUL,6,,7.948,8.775,L,7.948L,8.775L,8.28,9.107,Left Independent,State,SB,1656.07635275788
204,63,,63,TUL063...L,TUL,6,,0,7.948,,0.0,7.948,0,7.948,Left,State,SB,15912.8916149885
205,62,,62,SBD062...R,SBD,8,,90.203,142.718,,90.203,142.718,98.923,151.438,Right,State,EB,101508.166973413
206,62,,62,SBD062...R,SBD,8,,63.605,79.476,,63.605,79.476,72.325,88.196,Right,State,EB,30743.5490334132
207,62,,62,SBD062...L,SBD,8,,90.203,142.718,,90.203,142.718,98.923,151.438,Left,State,WB,101508.166973413
208,62,,62,RIV062...L,RIV,8,,79.476,90.203,,79.476,90.203,88.196,98.923,Left,State,WB,21073.479184763
209,62,,62,SBD062.R.L,SBD,8,R,63.034,63.551,,R63.034,R63.551,71.808,72.325,Left,State,WB,1001.70837120389
210,62,,62,SBD062...L,SBD,8,,0,63.034,,0.0,63.034,8.774,71.808,Left,State,WB,122370.161004436
211,62,,62,RIV062.R.L,RIV,8,R,0.503,6.967,,R0.503,R6.967,0.503,6.967,Left,State,WB,12542.0094076787
212,62,,62,RIV062...L,RIV,8,,0,0.503,,0.0,0.503,0,0.503,Left,State,WB,910.834514742199
213,70,,70,PLU070...L,PLU,2,,0,43.086,,0.0,43.086,80.702,123.788,Left,State,WB,90822.5542514685
214,61,,61,ALA061.R.R,ALA,4,R,15,15.9,,R15.0,R15.9,0.004,0.904,Right,State,NB,1837.56957213365
215,61,,61,ALA061...L,ALA,4,,15.9,21.967,,15.9,21.967,0.904,6.971,Left,State,SB,12540.1009660649
216,60,,60,RIV060...R,RIV,8,,25.774,30.495,,25.774,30.495,66.667,71.388,Right,State,EB,9202.41296322605
217,60,,60,RIV060.R.R,RIV,8,R,24.816,25.76,,R24.816,R25.76,65.723,66.667,Right,State,EB,1833.15842348634
